edition,start_date,winner_name,winner_team,distance,time_overall,time_margin,stage_wins,stages_led,height,weight,age,born,died,full_name,nickname,birth_town,birth_country,nationality
21,1927-06-19,Nicolas Frantz,Alcyon–Dunlop,5398,198.278333333333,1.81138888888889,3,14,,,27,1899-11-04,1985-11-08,,,Mamer,Luxembourg, Luxembourg
22,1928-06-17,Nicolas Frantz,Alcyon–Dunlop,5476,192.816111111111,0.847222222222222,5,22,,,28,1899-11-04,1985-11-08,,,Mamer,Luxembourg, Luxembourg
23,1929-06-30,Maurice De Waele,Alcyon–Dunlop,5286,186.654166666667,0.745555555555556,1,16,,,32,1896-12-27,1952-02-14,,,Lovendegem,Belgium, Belgium
24,1930-07-02,André Leducq,Alcyon–Dunlop,4822,172.204444444444,0.237222222222222,2,13,,,26,1904-02-27,1980-06-18,,,Saint-Ouen,France, France
25,1931-06-30,Antonin Magne,France,5091,177.1675,0.203333333333333,1,16,,,27,1904-01-15,1983-09-08,,,Ytrac,France, France
26,1932-07-06,André Leducq,France,4479,154.196944444444,0.406666666666667,6,19,,,28,1904-02-27,1980-06-18,,,Saint-Ouen,France, France
27,1933-06-27,Georges Speicher,France,4395,147.860277777778,0.067777777777778,3,12,,,26,1907-06-08,1978-01-24,,,Paris,France, France
28,1934-07-03,Antonin Magne,France,4470,147.232777777778,0.4575,3,22,,,30,1904-01-15,1983-09-08,,,Ytrac,France, France
29,1935-07-04,Romain Maes,Belgium,4338,141.383333333333,0.288055555555556,3,21,,,22,1912-08-10,1983-02-22,,,Zerkegem,Belgium, Belgium
30,1936-07-07,Sylvère Maes,Belgium,4442,142.792222222222,0.440555555555556,4,14,,,26,1909-08-27,1966-12-05,,,Zevekote,Belgium, Belgium
31,1937-06-30,Roger Lapébie,France,4415,138.975277777778,0.118611111111111,3,4,,,26,1911-01-16,1996-10-12,,,Bayonne,France, France
32,1938-07-05,Gino Bartali,Italy,4694,148.486666666667,0.305,2,8,1.72,66,23,1914-07-18,2000-05-05,,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Ponte e Ema,Italy, Italy
33,1939-07-10,Sylvère Maes,Belgium,4224,132.054722222222,0.508333333333333,2,8,,,29,1909-08-27,1966-12-05,,,Zevekote,Belgium, Belgium
34,1947-06-25,Jean Robic,France,4642,148.190277777778,0.050833333333333,3,1,1.61,60,26,1921-06-10,1980-10-06,,"Biquet (Kid goat), Tête de cuir (Leather-head), Le farfadet de la lande Bretonne,
Gueule cassée",Vouziers,France, France
35,1948-06-30,Gino Bartali,Italy,4922,147.176666666667,0.440555555555556,7,9,1.72,66,33,1914-07-18,2000-05-05,,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Ponte e Ema,Italy, Italy
36,1949-06-30,Fausto Coppi,Italy,4808,149.680277777778,0.169444444444444,3,5,1.77,68,29,1919-09-15,1960-01-02,Angelo Fausto Coppi,"The Heron,Il Campionissimo
(Champion of Champions)",Castellania,Italy, Italy
37,1950-07-13,Ferdinand Kübler,Switzerland,4773,145.615555555556,0.1525,3,11,,,30,1919-07-24,2016-12-29,,"Ferdi, The Cowboy, The Eagle of Adliswil, Mr 100,000 Volts[",Marthalen,Switzerland,  Switzerland
38,1951-07-04,Hugo Koblet,Switzerland,4690,142.337222222222,0.372777777777778,5,11,,,26,1925-03-21,1964-11-06,,"Beautiful Hugo, Le pédaleur de charme",Zürich,Switzerland,  Switzerland
39,1952-06-25,Fausto Coppi,Italy,4898,151.955555555556,0.474444444444444,5,14,1.77,68,30,1919-09-15,1960-01-02,Angelo Fausto Coppi,"The Heron,Il Campionissimo
(Champion of Champions)",Castellania,Italy, Italy
40,1953-07-03,Louison Bobet,France,4476,129.390277777778,0.237222222222222,2,5,1.79,75,26,1925-03-12,1983-03-13,,"Louison, Zonzon",Saint-Méen-le-Grand,France, France
41,1954-07-08,Louison Bobet,France,4656,140.101388888889,0.254166666666667,3,14,1.79,75,29,1925-03-12,1983-03-13,,"Louison, Zonzon",Saint-Méen-le-Grand,France, France
42,1955-07-07,Louison Bobet,France,4495,130.490555555556,0.067777777777778,2,6,1.79,75,30,1925-03-12,1983-03-13,,"Louison, Zonzon",Saint-Méen-le-Grand,France, France
43,1956-07-05,Roger Walkowiak,France,4498,124.021111111111,0.016944444444445,0,8,,,29,1927-03-02,2017-02-06,,Walko,Montluçon,France, France
44,1957-06-27,Jacques Anquetil,France,4669,135.745,0.237222222222222,4,15,1.76,70,23,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
45,1958-06-26,Charly Gaul,Luxembourg,4319,116.984722222222,0.050833333333333,4,2,1.73,64,25,1932-12-08,2005-12-06,,Angel of the Mountains,Pfaffenthal,Luxembourg, Luxembourg
46,1959-06-25,Federico Bahamontes,Spain,4358,123.779166666667,0.067777777777778,1,6,,,30,1928-07-09,,Alejandro Martín Bahamontes,The Eagle of Toledo,Santo Domingo-Caudilla,Spain, Spain
47,1960-06-26,Gastone Nencini,Italy,4173,112.145,0.084722222222222,0,14,,,30,1930-03-01,1980-02-01,,"Il Leone del Mugello, Faccia di fatica (Fatigue-face)",Barberino di Mugello,Italy, Italy
48,1961-06-25,Jacques Anquetil,France,4397,122.025833333333,0.203333333333333,2,21,1.76,70,27,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
49,1962-06-24,Jacques Anquetil,Saint-Raphaël–Helyett–Hutchinson,4274,114.531666666667,0.067777777777778,2,3,1.76,70,28,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
50,1963-06-23,Jacques Anquetil,Saint-Raphaël–Gitane–R. Geminiani,4138,113.501388888889,0.050833333333333,4,5,1.76,70,29,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
51,1964-06-22,Jacques Anquetil,Saint-Raphaël–Gitane–Dunlop,4504,127.162222222222,0.015277777777778,4,6,1.76,70,30,1934-01-08,1987-11-18,,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
52,1965-06-22,Felice Gimondi,Salvarani,4188,116.701666666667,0.033888888888889,3,18,1.81,71,22,1942-09-29,2019-08-16,,The Phoenix,Sedrina,Italy, Italy
53,1966-06-21,Lucien Aimar,Ford France–Hutchinson,4329,117.5725,0.016944444444445,0,6,,,25,1941-04-28,,,,Hyères,France, France
54,1967-06-29,Roger Pingeon,Peugeot–BP–Michelin,4779,136.897222222222,0.050833333333333,1,17,1.82,72,26,1940-08-28,2017-03-19,,"Le grand échassier, Le plombier-zingueur",Hauteville-Lompnes,France, France
55,1968-06-27,Jan Janssen,Pelforth–Sauvage–Lejeune,4492,133.828333333333,0.010555555555556,2,1,,,28,1940-05-19,,Johannes Adrianus Janssen,,Nootdorp,Netherlands, Netherlands
56,1969-06-28,Eddy Merckx,Faema,4117,116.267222222222,0.288055555555556,6,18,1.82,74,24,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
57,1970-06-27,Eddy Merckx,Faemino–Faema,4254,119.530277777778,0.203333333333333,8,20,1.82,74,25,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
58,1971-06-26,Eddy Merckx,Molteni,3608,96.7538888888889,0.1525,4,17,1.82,74,26,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
59,1972-07-01,Eddy Merckx,Molteni,3846,108.288333333333,0.169444444444444,6,15,1.82,74,27,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
60,1973-06-30,Luis Ocaña,Bic,4090,122.426111111111,0.254166666666667,6,14,1.65,52,28,1945-06-09,1994-06-19,Jesús Luis Ocaña Pernía,,Priego,Spain, Spain
61,1974-06-27,Eddy Merckx,Molteni,4098,116.282777777778,0.135555555555556,8,18,1.82,74,29,1945-06-17,,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
62,1975-06-26,Bernard Thévenet,Peugeot–BP–Michelin,4000,114.591944444444,0.033888888888889,2,8,,,27,1948-01-10,,,Nanard,Saint-Julien-de-Civry,France, France
63,1976-06-24,Lucien Van Impe,Gitane–Campagnolo,4017,116.373055555556,0.067777777777778,1,12,,58,29,1946-10-20,,,de kleine van Mere,Mere,Belgium, Belgium
64,1977-06-30,Bernard Thévenet,Peugeot–Esso–Michelin,4096,115.641666666667,0.013333333333333,1,8,,,29,1948-01-10,,,Nanard,Saint-Julien-de-Civry,France, France
65,1978-06-29,Bernard Hinault,Renault–Gitane–Campagnolo,3908,108.3,0.050833333333333,3,3,1.74,62,23,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
66,1979-06-27,Bernard Hinault,Renault–Gitane,3765,103.113888888889,0.220277777777778,7,17,1.74,62,24,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
67,1980-06-26,Joop Zoetemelk,TI–Raleigh–Creda,3842,109.320555555556,0.101666666666667,2,10,1.73,68,33,1946-12-03,,Hendrik Gerardus Joseph Zoetemelk,Joop,The Hague,Netherlands, Netherlands
68,1981-06-25,Bernard Hinault,Renault–Elf–Gitane,3753,96.3272222222222,0.237222222222222,5,18,1.74,62,26,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
69,1982-07-02,Bernard Hinault,Renault–Elf–Gitane,3507,92.1461111111111,0.101666666666667,4,12,1.74,62,27,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
70,1983-07-01,Laurent Fignon,Renault–Elf,3809,105.131111111111,0.067777777777778,1,6,1.74,67,22,1960-08-12,2010-08-31,Laurent Patrick Fignon,Le Professeur (The Professor),Paris,France, France
71,1984-06-29,Laurent Fignon,Renault–Elf,4021,112.061111111111,0.169444444444444,5,7,1.74,67,23,1960-08-12,2010-08-31,Laurent Patrick Fignon,Le Professeur (The Professor),Paris,France, France
72,1985-06-28,Bernard Hinault,La Vie Claire,4109,113.406388888889,0.016944444444445,2,16,1.74,62,30,1954-11-14,,,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
73,1986-07-04,Greg LeMond,La Vie Claire,4094,110.588611111111,0.050833333333333,1,7,1.78,67,25,1961-06-26,,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States
74,1987-07-01,Stephen Roche,Carrera Jeans–Vagabond,4231,115.461666666667,0.011111111111111,1,3,1.75,74,27,1959-11-28,,,,Dundrum,Ireland, Ireland
75,1988-07-02,Pedro Delgado,Reynolds,3286,84.4647222222222,0.118611111111111,1,11,1.71,64,28,1960-04-15,,Pedro Delgado Robledo,Perico,Segovia,Spain, Spain
76,1989-07-01,Greg LeMond,AD Renting–W-Cup–Bottecchia,3285,87.6430555555556,0.002222222222222,3,8,1.78,67,28,1961-06-26,,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States
77,1990-06-30,Greg LeMond,Z–Tomasso,3504,90.7222222222222,0.033888888888889,0,2,1.78,67,29,1961-06-26,,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States
78,1991-07-06,Miguel Induráin,Banesto,3914,101.022222222222,0.050833333333333,2,10,1.86,80,26,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
79,1992-07-04,Miguel Induráin,Banesto,3983,100.825,0.067777777777778,3,10,1.86,80,27,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
80,1993-07-03,Miguel Induráin,Banesto,3714,95.9525,0.067777777777778,2,14,1.86,80,28,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
81,1994-07-02,Miguel Induráin,Banesto,3978,103.643888888889,0.084722222222222,1,13,1.86,80,29,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
82,1995-07-01,Miguel Induráin,Banesto,3635,92.7497222222222,0.067777777777778,2,13,1.86,80,30,1964-07-16,,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
83,1996-06-29,Bjarne Riis,Team Telekom,3765,95.9544444444444,0.016944444444445,2,13,1.84,71,32,1964-04-03,,Bjarne Lykkegård Riis,"Ørnen fra Herning
(The Eagle from Herning)",Herning,Denmark, Denmark
84,1997-07-05,Jan Ullrich,Team Telekom,3950,100.509722222222,0.1525,2,12,1.83,73,23,1973-12-02,,,"Der Kaiser, Der Jan, Der Junge, The Yoyo",Rostock,Germany, Germany
85,1998-07-11,Marco Pantani,Mercatone Uno–Bianchi,3875,92.8294444444444,0.050833333333333,2,7,1.72,57,28,1970-01-13,2004-02-14,,"Il Pirata (The pirate), Elefantino (The little elephant)",Cesena,Italy, Italy
86,1999-07-03,Lance Armstrong,U.S. Postal Service,3687,91.5377777777778,0.118611111111111,4,15,1.77,75,27,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
87,2000-07-01,Lance Armstrong,U.S. Postal Service,3662,92.5522222222222,0.101666666666667,1,12,1.77,75,28,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
88,2001-07-07,Lance Armstrong,U.S. Postal Service,3458,86.2911111111111,0.101666666666667,4,8,1.77,75,29,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
89,2002-07-06,Lance Armstrong,U.S. Postal Service,3272,82.0866666666667,0.118611111111111,4,11,1.77,75,30,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
90,2003-07-05,Lance Armstrong,U.S. Postal Service,3427,83.6866666666667,0.016944444444445,1,13,1.77,75,31,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
91,2004-07-03,Lance Armstrong,U.S. Postal Service,3391,83.6005555555555,0.101666666666667,5,7,1.77,75,32,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
92,2005-07-02,Lance Armstrong,Discovery Channel,3593,86.2505555555556,0.067777777777778,1,17,1.77,75,33,1971-09-18,,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
93,2006-07-01,Óscar Pereiro,Caisse d'Epargne–Illes Balears,3657,89.6741666666667,0.008888888888889,0,8,1.77,68,28,1977-08-03,,Óscar Pereiro Sío,,Mos,Spain, Spain
94,2007-07-07,Alberto Contador,Discovery Channel,3570,91.0072222222222,0.006388888888889,1,4,1.76,62,24,1982-12-06,,Alberto Contador Velasco,El Pistolero,Pinto,Spain, Spain
95,2008-07-05,Carlos Sastre,Team CSC,3559,87.8811111111111,0.016111111111111,1,5,1.73,60,33,1975-04-22,,Carlos Sastre Candil,,Leganés,Spain, Spain
96,2009-07-04,Alberto Contador,Astana,3459,85.8097222222222,0.067777777777778,2,7,1.76,62,26,1982-12-06,,Alberto Contador Velasco,El Pistolero,Pinto,Spain, Spain
97,2010-07-03,Andy Schleck,Team Saxo Bank,3642,91.9908333333333,0.016944444444445,2,12,1.86,68,25,1985-06-10,,Andy Raymond Schleck,,Luxembourg City,Luxembourg, Luxembourg
98,2011-07-02,Cadel Evans,BMC Racing Team,3430,86.2061111111111,0.016944444444445,1,2,1.74,64,34,1977-02-14,,Cadel Lee Evans,,Katherine,Australia, Australia
99,2012-06-20,Bradley Wiggins,Team Sky,3496,87.5797222222222,0.050833333333333,2,14,1.9,69,32,1980-04-28,,Bradley Marc Wiggins,Wiggo,Ghent,Belgium, Great Britain
100,2013-06-29,Chris Froome,Team Sky,3404,83.9388888888889,0.067777777777778,3,14,1.86,69,28,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
101,2014-07-05,Vincenzo Nibali,Astana,3660.5,89.985,0.118611111111111,4,19,1.8,65,29,1984-11-14,,,"Lo Squalo (The Shark), 'il Roditore' (The Nibbler)",Messina,Italy, Italy
102,2015-07-04,Chris Froome,Team Sky,3360.3,84.7705555555556,0.016944444444445,1,16,1.86,69,30,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
103,2016-07-02,Chris Froome,Team Sky,3529,89.08,0.067777777777778,2,14,1.86,69,31,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
104,2017-07-01,Chris Froome,Team Sky,3540,86.3486111111111,0.015,0,15,1.86,69,32,1985-05-20,,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
105,2018-07-07,Geraint Thomas,Team Sky,3349,83.2869444444444,0.016944444444445,2,11,1.83,71,32,1986-05-25,,Geraint Howell Thomas,G,Cardiff,Wales, Great Britain
106,2019-07-06,Egan Bernal,Team Ineos,3349,82.95,0.016944444444445,0,2,1.75,60,22,1997-01-13,,Egan Arley Bernal Gómez,,Bogotá,Columbia, Colombia
